route,from_stop,to_stop,hour,traffic_level,travel_time
Alif Paribahan,Shyamoli,Agargaon,19,HIGH,6
Alif Paribahan,Shyamoli,Agargaon,19,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,19,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,19,HIGH,10
Alif Paribahan,Shyamoli,Agargaon,19,HIGH,8
Alif Paribahan,Shyamoli,Agargaon,20,HIGH,11
Alif Paribahan,Shyamoli,Agargaon,20,HIGH,7
Alif Paribahan,Shyamoli,Agargaon,20,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,20,HIGH,12
Alif Paribahan,Shyamoli,Agargaon,20,HIGH,9
Alif Paribahan,Shyamoli,Agargaon,21,LOW,7
Alif Paribahan,Shyamoli,Agargaon,21,LOW,7
Alif Paribahan,Shyamoli,Agargaon,21,LOW,5
Alif Paribahan,Shyamoli,Agargaon,21,LOW,4
Alif Paribahan,Shyamoli,Agargaon,21,LOW,4
Alif Paribahan,Shyamoli,Agargaon,22,LOW,6
Alif Paribahan,Shyamoli,Agargaon,22,LOW,5
Alif Paribahan,Shyamoli,Agargaon,22,LOW,6
Alif Paribahan,Shyamoli,Agargaon,22,LOW,4
Alif Paribahan,Shyamoli,Agargaon,22,LOW,6
Alif Paribahan,Shyamoli,Agargaon,23,LOW,5
Alif Paribahan,Shyamoli,Agargaon,23,LOW,6
Alif Paribahan,Shyamoli,Agargaon,23,LOW,5
Alif Paribahan,Shyamoli,Agargaon,23,LOW,4
Alif Paribahan,Shyamoli,Agargaon,23,LOW,4
Alif Paribahan,Agargaon,Farmgate,6,LOW,9
Alif Paribahan,Agargaon,Farmgate,6,LOW,10
Alif Paribahan,Agargaon,Farmgate,6,LOW,6
Alif Paribahan,Agargaon,Farmgate,6,LOW,8
Alif Paribahan,Agargaon,Farmgate,6,LOW,10
Alif Paribahan,Agargaon,Farmgate,7,HIGH,13
Alif Paribahan,Agargaon,Farmgate,7,HIGH,11
Alif Paribahan,Agargaon,Farmgate,7,HIGH,16
Alif Paribahan,Agargaon,Farmgate,7,HIGH,11
Alif Paribahan,Agargaon,Farmgate,7,HIGH,14
Alif Paribahan,Agargaon,Farmgate,8,HIGH,17
Alif Paribahan,Agargaon,Farmgate,8,HIGH,14
Alif Paribahan,Agargaon,Farmgate,8,HIGH,14
Alif Paribahan,Agargaon,Farmgate,8,HIGH,14
Alif Paribahan,Agargaon,Farmgate,8,HIGH,16
Alif Paribahan,Agargaon,Farmgate,9,HIGH,11
Alif Paribahan,Agargaon,Farmgate,9,HIGH,16
Alif Paribahan,Agargaon,Farmgate,9,HIGH,13
Alif Paribahan,Agargaon,Farmgate,9,HIGH,13
Alif Paribahan,Agargaon,Farmgate,9,HIGH,14
Alif Paribahan,Agargaon,Farmgate,10,HIGH,15
Alif Paribahan,Agargaon,Farmgate,10,HIGH,15
Alif Paribahan,Agargaon,Farmgate,10,HIGH,13
Alif Paribahan,Agargaon,Farmgate,10,HIGH,12
Alif Paribahan,Agargaon,Farmgate,10,HIGH,13
Alif Paribahan,Agargaon,Farmgate,11,MEDIUM,10
Alif Paribahan,Agargaon,Farmgate,11,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,11,MEDIUM,11
Alif Paribahan,Agargaon,Farmgate,11,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,11,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,12,MEDIUM,11
Alif Paribahan,Agargaon,Farmgate,12,MEDIUM,9
Alif Paribahan,Agargaon,Farmgate,12,MEDIUM,9
Alif Paribahan,Agargaon,Farmgate,12,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,12,MEDIUM,11
Alif Paribahan,Agargaon,Farmgate,13,MEDIUM,10
Alif Paribahan,Agargaon,Farmgate,13,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,13,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,13,MEDIUM,9
Alif Paribahan,Agargaon,Farmgate,13,MEDIUM,9
Alif Paribahan,Agargaon,Farmgate,14,MEDIUM,12
Alif Paribahan,Agargaon,Farmgate,14,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,14,MEDIUM,9
Alif Paribahan,Agargaon,Farmgate,14,MEDIUM,12
Alif Paribahan,Agargaon,Farmgate,14,MEDIUM,9
Alif Paribahan,Agargaon,Farmgate,15,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,15,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,15,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,15,MEDIUM,9
Alif Paribahan,Agargaon,Farmgate,15,MEDIUM,12
Alif Paribahan,Agargaon,Farmgate,16,MEDIUM,8
Alif Paribahan,Agargaon,Farmgate,16,MEDIUM,10
Alif Paribahan,Agargaon,Farmgate,16,MEDIUM,12
Alif Paribahan,Agargaon,Farmgate,16,MEDIUM,11
Alif Paribahan,Agargaon,Farmgate,16,MEDIUM,11
Alif Paribahan,Agargaon,Farmgate,17,HIGH,15
Alif Paribahan,Agargaon,Farmgate,17,HIGH,15
Alif Paribahan,Agargaon,Farmgate,17,HIGH,16
Alif Paribahan,Agargaon,Farmgate,17,HIGH,16
Alif Paribahan,Agargaon,Farmgate,17,HIGH,17
Alif Paribahan,Agargaon,Farmgate,18,HIGH,17
Alif Paribahan,Agargaon,Farmgate,18,HIGH,16
Alif Paribahan,Agargaon,Farmgate,18,HIGH,12
Alif Paribahan,Agargaon,Farmgate,18,HIGH,16
Alif Paribahan,Agargaon,Farmgate,18,HIGH,13
Alif Paribahan,Agargaon,Farmgate,19,HIGH,14
Alif Paribahan,Agargaon,Farmgate,19,HIGH,17
Alif Paribahan,Agargaon,Farmgate,19,HIGH,11
Alif Paribahan,Agargaon,Farmgate,19,HIGH,11
Alif Paribahan,Agargaon,Farmgate,19,HIGH,11
Alif Paribahan,Agargaon,Farmgate,20,HIGH,14
Alif Paribahan,Agargaon,Farmgate,20,HIGH,13
Alif Paribahan,Agargaon,Farmgate,20,HIGH,15
Alif Paribahan,Agargaon,Farmgate,20,HIGH,15
Alif Paribahan,Agargaon,Farmgate,20,HIGH,15
Alif Paribahan,Agargaon,Farmgate,21,LOW,9
Alif Paribahan,Agargaon,Farmgate,21,LOW,6
Alif Paribahan,Agargaon,Farmgate,21,LOW,8
Alif Paribahan,Agargaon,Farmgate,21,LOW,10
Alif Paribahan,Agargaon,Farmgate,21,LOW,10
Alif Paribahan,Agargaon,Farmgate,22,LOW,10
Alif Paribahan,Agargaon,Farmgate,22,LOW,9
Alif Paribahan,Agargaon,Farmgate,22,LOW,8
Alif Paribahan,Agargaon,Farmgate,22,LOW,9
Alif Paribahan,Agargaon,Farmgate,22,LOW,7
Alif Paribahan,Agargaon,Farmgate,23,LOW,6
Alif Paribahan,Agargaon,Farmgate,23,LOW,7
Alif Paribahan,Agargaon,Farmgate,23,LOW,9
Alif Paribahan,Agargaon,Farmgate,23,LOW,6
Alif Paribahan,Agargaon,Farmgate,23,LOW,6
Alif Paribahan,Farmgate,Karwan Bazar,6,LOW,5
Alif Paribahan,Farmgate,Karwan Bazar,6,LOW,6
Alif Paribahan,Farmgate,Karwan Bazar,6,LOW,4
Alif Paribahan,Farmgate,Karwan Bazar,6,LOW,7
Alif Paribahan,Farmgate,Karwan Bazar,6,LOW,5
Alif Paribahan,Farmgate,Karwan Bazar,7,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,7,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,7,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,7,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,7,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,8,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,8,HIGH,9
Alif Paribahan,Farmgate,Karwan Bazar,8,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,8,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,8,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,9,HIGH,9
Alif Paribahan,Farmgate,Karwan Bazar,9,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,9,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,9,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,9,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,10,HIGH,13
Alif Paribahan,Farmgate,Karwan Bazar,10,HIGH,13
Alif Paribahan,Farmgate,Karwan Bazar,10,HIGH,8
Alif Paribahan,Farmgate,Karwan Bazar,10,HIGH,8
Alif Paribahan,Farmgate,Karwan Bazar,10,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,11,MEDIUM,5
Alif Paribahan,Farmgate,Karwan Bazar,11,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,11,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,11,MEDIUM,5
Alif Paribahan,Farmgate,Karwan Bazar,11,MEDIUM,7
Alif Paribahan,Farmgate,Karwan Bazar,12,MEDIUM,5
Alif Paribahan,Farmgate,Karwan Bazar,12,MEDIUM,9
Alif Paribahan,Farmgate,Karwan Bazar,12,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,12,MEDIUM,5
Alif Paribahan,Farmgate,Karwan Bazar,12,MEDIUM,5
Alif Paribahan,Farmgate,Karwan Bazar,13,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,13,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,13,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,13,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,13,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,14,MEDIUM,7
Alif Paribahan,Farmgate,Karwan Bazar,14,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,14,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,14,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,14,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,15,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,15,MEDIUM,9
Alif Paribahan,Farmgate,Karwan Bazar,15,MEDIUM,7
Alif Paribahan,Farmgate,Karwan Bazar,15,MEDIUM,9
Alif Paribahan,Farmgate,Karwan Bazar,15,MEDIUM,6
Alif Paribahan,Farmgate,Karwan Bazar,16,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,16,MEDIUM,9
Alif Paribahan,Farmgate,Karwan Bazar,16,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,16,MEDIUM,5
Alif Paribahan,Farmgate,Karwan Bazar,16,MEDIUM,8
Alif Paribahan,Farmgate,Karwan Bazar,17,HIGH,14
Alif Paribahan,Farmgate,Karwan Bazar,17,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,17,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,17,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,17,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,18,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,18,HIGH,9
Alif Paribahan,Farmgate,Karwan Bazar,18,HIGH,8
Alif Paribahan,Farmgate,Karwan Bazar,18,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,18,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,19,HIGH,10
Alif Paribahan,Farmgate,Karwan Bazar,19,HIGH,9
Alif Paribahan,Farmgate,Karwan Bazar,19,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,19,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,19,HIGH,12
Alif Paribahan,Farmgate,Karwan Bazar,20,HIGH,9
Alif Paribahan,Farmgate,Karwan Bazar,20,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,20,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,20,HIGH,11
Alif Paribahan,Farmgate,Karwan Bazar,20,HIGH,9
Alif Paribahan,Farmgate,Karwan Bazar,21,LOW,7
Alif Paribahan,Farmgate,Karwan Bazar,21,LOW,5
Alif Paribahan,Farmgate,Karwan Bazar,21,LOW,4
Alif Paribahan,Farmgate,Karwan Bazar,21,LOW,8
Alif Paribahan,Farmgate,Karwan Bazar,21,LOW,7
Alif Paribahan,Farmgate,Karwan Bazar,22,LOW,5
Alif Paribahan,Farmgate,Karwan Bazar,22,LOW,7
Alif Paribahan,Farmgate,Karwan Bazar,22,LOW,4
Alif Paribahan,Farmgate,Karwan Bazar,22,LOW,6
Alif Paribahan,Farmgate,Karwan Bazar,22,LOW,8
Alif Paribahan,Farmgate,Karwan Bazar,23,LOW,5
Alif Paribahan,Farmgate,Karwan Bazar,23,LOW,8
Alif Paribahan,Farmgate,Karwan Bazar,23,LOW,5
Alif Paribahan,Farmgate,Karwan Bazar,23,LOW,6
Alif Paribahan,Farmgate,Karwan Bazar,23,LOW,5
Alif Paribahan,Karwan Bazar,Mohakhali,6,LOW,6
Alif Paribahan,Karwan Bazar,Mohakhali,6,LOW,5
Alif Paribahan,Karwan Bazar,Mohakhali,6,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,6,LOW,7
Alif Paribahan,Karwan Bazar,Mohakhali,6,LOW,6
Alif Paribahan,Karwan Bazar,Mohakhali,7,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,7,HIGH,6
Alif Paribahan,Karwan Bazar,Mohakhali,7,HIGH,6
Alif Paribahan,Karwan Bazar,Mohakhali,7,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,7,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,8,HIGH,6
Alif Paribahan,Karwan Bazar,Mohakhali,8,HIGH,10
Alif Paribahan,Karwan Bazar,Mohakhali,8,HIGH,7
Alif Paribahan,Karwan Bazar,Mohakhali,8,HIGH,11
Alif Paribahan,Karwan Bazar,Mohakhali,8,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,9,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,9,HIGH,7
Alif Paribahan,Karwan Bazar,Mohakhali,9,HIGH,10
Alif Paribahan,Karwan Bazar,Mohakhali,9,HIGH,10
Alif Paribahan,Karwan Bazar,Mohakhali,9,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,10,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,10,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,10,HIGH,10
Alif Paribahan,Karwan Bazar,Mohakhali,10,HIGH,7
Alif Paribahan,Karwan Bazar,Mohakhali,10,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,11,MEDIUM,8
Alif Paribahan,Karwan Bazar,Mohakhali,11,MEDIUM,7
Alif Paribahan,Karwan Bazar,Mohakhali,11,MEDIUM,7
Alif Paribahan,Karwan Bazar,Mohakhali,11,MEDIUM,7
Alif Paribahan,Karwan Bazar,Mohakhali,11,MEDIUM,7
Alif Paribahan,Karwan Bazar,Mohakhali,12,MEDIUM,8
Alif Paribahan,Karwan Bazar,Mohakhali,12,MEDIUM,8
Alif Paribahan,Karwan Bazar,Mohakhali,12,MEDIUM,4
Alif Paribahan,Karwan Bazar,Mohakhali,12,MEDIUM,6
Alif Paribahan,Karwan Bazar,Mohakhali,12,MEDIUM,6
Alif Paribahan,Karwan Bazar,Mohakhali,13,MEDIUM,8
Alif Paribahan,Karwan Bazar,Mohakhali,13,MEDIUM,6
Alif Paribahan,Karwan Bazar,Mohakhali,13,MEDIUM,6
Alif Paribahan,Karwan Bazar,Mohakhali,13,MEDIUM,5
Alif Paribahan,Karwan Bazar,Mohakhali,13,MEDIUM,5
Alif Paribahan,Karwan Bazar,Mohakhali,14,MEDIUM,6
Alif Paribahan,Karwan Bazar,Mohakhali,14,MEDIUM,8
Alif Paribahan,Karwan Bazar,Mohakhali,14,MEDIUM,8
Alif Paribahan,Karwan Bazar,Mohakhali,14,MEDIUM,5
Alif Paribahan,Karwan Bazar,Mohakhali,14,MEDIUM,6
Alif Paribahan,Karwan Bazar,Mohakhali,15,MEDIUM,7
Alif Paribahan,Karwan Bazar,Mohakhali,15,MEDIUM,5
Alif Paribahan,Karwan Bazar,Mohakhali,15,MEDIUM,5
Alif Paribahan,Karwan Bazar,Mohakhali,15,MEDIUM,5
Alif Paribahan,Karwan Bazar,Mohakhali,15,MEDIUM,6
Alif Paribahan,Karwan Bazar,Mohakhali,16,MEDIUM,5
Alif Paribahan,Karwan Bazar,Mohakhali,16,MEDIUM,4
Alif Paribahan,Karwan Bazar,Mohakhali,16,MEDIUM,4
Alif Paribahan,Karwan Bazar,Mohakhali,16,MEDIUM,8
Alif Paribahan,Karwan Bazar,Mohakhali,16,MEDIUM,7
Alif Paribahan,Karwan Bazar,Mohakhali,17,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,17,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,17,HIGH,10
Alif Paribahan,Karwan Bazar,Mohakhali,17,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,17,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,18,HIGH,10
Alif Paribahan,Karwan Bazar,Mohakhali,18,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,18,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,18,HIGH,7
Alif Paribahan,Karwan Bazar,Mohakhali,18,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,19,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,19,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,19,HIGH,7
Alif Paribahan,Karwan Bazar,Mohakhali,19,HIGH,7
Alif Paribahan,Karwan Bazar,Mohakhali,19,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,20,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,20,HIGH,9
Alif Paribahan,Karwan Bazar,Mohakhali,20,HIGH,10
Alif Paribahan,Karwan Bazar,Mohakhali,20,HIGH,12
Alif Paribahan,Karwan Bazar,Mohakhali,20,HIGH,8
Alif Paribahan,Karwan Bazar,Mohakhali,21,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,21,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,21,LOW,7
Alif Paribahan,Karwan Bazar,Mohakhali,21,LOW,6
Alif Paribahan,Karwan Bazar,Mohakhali,21,LOW,7
Alif Paribahan,Karwan Bazar,Mohakhali,22,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,22,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,22,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,22,LOW,6
Alif Paribahan,Karwan Bazar,Mohakhali,22,LOW,5
Alif Paribahan,Karwan Bazar,Mohakhali,23,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,23,LOW,4
Alif Paribahan,Karwan Bazar,Mohakhali,23,LOW,7
Alif Paribahan,Karwan Bazar,Mohakhali,23,LOW,6
Alif Paribahan,Karwan Bazar,Mohakhali,23,LOW,7
Alif Paribahan,Mohakhali,Gulshan 1,6,LOW,6
Alif Paribahan,Mohakhali,Gulshan 1,6,LOW,9
Alif Paribahan,Mohakhali,Gulshan 1,6,LOW,9
Alif Paribahan,Mohakhali,Gulshan 1,6,LOW,10
Alif Paribahan,Mohakhali,Gulshan 1,6,LOW,8
Alif Paribahan,Mohakhali,Gulshan 1,7,HIGH,13
Alif Paribahan,Mohakhali,Gulshan 1,7,HIGH,16
Alif Paribahan,Mohakhali,Gulshan 1,7,HIGH,13
Alif Paribahan,Mohakhali,Gulshan 1,7,HIGH,11
Alif Paribahan,Mohakhali,Gulshan 1,7,HIGH,15
Alif Paribahan,Mohakhali,Gulshan 1,8,HIGH,13
Alif Paribahan,Mohakhali,Gulshan 1,8,HIGH,14
Alif Paribahan,Mohakhali,Gulshan 1,8,HIGH,16
Alif Paribahan,Mohakhali,Gulshan 1,8,HIGH,14
Alif Paribahan,Mohakhali,Gulshan 1,8,HIGH,15
Alif Paribahan,Mohakhali,Gulshan 1,9,HIGH,15
Alif Paribahan,Mohakhali,Gulshan 1,9,HIGH,17
Alif Paribahan,Mohakhali,Gulshan 1,9,HIGH,12
Alif Paribahan,Mohakhali,Gulshan 1,9,HIGH,11
Alif Paribahan,Mohakhali,Gulshan 1,9,HIGH,14
Alif Paribahan,Mohakhali,Gulshan 1,10,HIGH,12
Alif Paribahan,Mohakhali,Gulshan 1,10,HIGH,17
Alif Paribahan,Mohakhali,Gulshan 1,10,HIGH,12
Alif Paribahan,Mohakhali,Gulshan 1,10,HIGH,11
Alif Paribahan,Mohakhali,Gulshan 1,10,HIGH,13
Alif Paribahan,Mohakhali,Gulshan 1,11,MEDIUM,12
Alif Paribahan,Mohakhali,Gulshan 1,11,MEDIUM,9
Alif Paribahan,Mohakhali,Gulshan 1,11,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,11,MEDIUM,12
Alif Paribahan,Mohakhali,Gulshan 1,11,MEDIUM,10
Alif Paribahan,Mohakhali,Gulshan 1,12,MEDIUM,12
Alif Paribahan,Mohakhali,Gulshan 1,12,MEDIUM,11
Alif Paribahan,Mohakhali,Gulshan 1,12,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,12,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,12,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,13,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,13,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,13,MEDIUM,11
Alif Paribahan,Mohakhali,Gulshan 1,13,MEDIUM,9
Alif Paribahan,Mohakhali,Gulshan 1,13,MEDIUM,9
Alif Paribahan,Mohakhali,Gulshan 1,14,MEDIUM,12
Alif Paribahan,Mohakhali,Gulshan 1,14,MEDIUM,12
Alif Paribahan,Mohakhali,Gulshan 1,14,MEDIUM,10
Alif Paribahan,Mohakhali,Gulshan 1,14,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,14,MEDIUM,11
Alif Paribahan,Mohakhali,Gulshan 1,15,MEDIUM,11
Alif Paribahan,Mohakhali,Gulshan 1,15,MEDIUM,12
Alif Paribahan,Mohakhali,Gulshan 1,15,MEDIUM,9
Alif Paribahan,Mohakhali,Gulshan 1,15,MEDIUM,12
Alif Paribahan,Mohakhali,Gulshan 1,15,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,16,MEDIUM,11
Alif Paribahan,Mohakhali,Gulshan 1,16,MEDIUM,10
Alif Paribahan,Mohakhali,Gulshan 1,16,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,16,MEDIUM,8
Alif Paribahan,Mohakhali,Gulshan 1,16,MEDIUM,10
Alif Paribahan,Mohakhali,Gulshan 1,17,HIGH,14
Alif Paribahan,Mohakhali,Gulshan 1,17,HIGH,16
Alif Paribahan,Mohakhali,Gulshan 1,17,HIGH,14
Alif Paribahan,Mohakhali,Gulshan 1,17,HIGH,11
Alif Paribahan,Mohakhali,Gulshan 1,17,HIGH,13
Alif Paribahan,Mohakhali,Gulshan 1,18,HIGH,15
Alif Paribahan,Mohakhali,Gulshan 1,18,HIGH,12
Alif Paribahan,Mohakhali,Gulshan 1,18,HIGH,13
Alif Paribahan,Mohakhali,Gulshan 1,18,HIGH,17
Alif Paribahan,Mohakhali,Gulshan 1,18,HIGH,10
Alif Paribahan,Mohakhali,Gulshan 1,19,HIGH,15
Alif Paribahan,Mohakhali,Gulshan 1,19,HIGH,11
